user_name,date,text,clean_text,sentiment,sentiment_score
🇦🇺Awake Yet??🇦🇺,2021-10-22 08:11:07,"Common sense to some...  

Absurd bullshit to the sheep!!

#auspol #COVID19Vic #COVID19Aus #COVIDVaccine #COVID19 #auspol2021 #CovidUK #covid19sa #covid19nsw #covid19qld #covid19wa #covid19nt #covid19tas https://t.co/alsiCsidqa",common sense to some absurd bullshit to the sheep auspol covid19vic covid19aus covidvaccine covid19 auspol2021 coviduk covid19sa covid19nsw covid19qld covid19wa covid19nt covid19tas https t co alsicsidqa,1 star,1
CoverageGenius,2021-01-01 14:30:58,@Itsjoeco I honestly don't understand why it's so difficult for those in government who've been complaining all thi… https://t.co/WY0U9MVW2z,itsjoeco i honestly don t understand why it s so difficult for those in government who ve been complaining all thi https t co wy0u9mvw2z,1 star,1
Dalingcebo,2021-01-11 11:25:24,"What if I don't want this Vaccine, will I be forced?
#5G #CovidVaccine #COVIDSecondWave #Covid19SA #cyrilramaphosa https://t.co/S15Xarsvzb",what if i don t want this vaccine will i be forced 5g covidvaccine covidsecondwave covid19sa cyrilramaphosa https t co s15xarsvzb,1 star,1
Ashok Singh,2021-02-19 05:34:46,"Get ready to see #TukdeTukdeGang throwing trash on #PatanjaliCoronil.

First they tried to defame Indian… https://t.co/8MBPFxjk0T",get ready to see tukdetukdegang throwing trash on patanjalicoronil first they tried to defame indian https t co 8mbpfxjk0t,1 star,1
Jessica M,2021-03-25 19:48:11,I tried to look up how the #CovidVaccine affects people with #lupus but I wasn't able to find much info.  So imma l… https://t.co/g9lwtvjabZ,i tried to look up how the covidvaccine affects people with lupus but i wasn t able to find much info so imma l https t co g9lwtvjabz,3 stars,3
Aidan Bradley,2021-07-29 16:33:34,#CovidVaccine #COVID19 my headache won't go away until YOU take a pain killer aswell,covidvaccine covid19 my headache won t go away until you take a pain killer aswell,5 stars,5
VaxBLR,2022-01-30 12:00:25,"45+ #URBAN #Bengaluru #CovidVaccine Availability for 30/01 at 05:30PM
FREE Slots 0
PAID Slots 0",45 urban bengaluru covidvaccine availability for 30 01 at 05 30pm free slots 0 paid slots 0,1 star,1
Datex,2020-11-19 20:01:14,"Cold Chain Logistics of COVID-19 Vaccines:  More Challenges
#covid19 #covidvaccine #vaccine #supplychain https://t.co/5l7SCaHq2j",cold chain logistics of covid 19 vaccines more challenges covid19 covidvaccine vaccine supplychain https t co 5l7scahq2j,4 stars,4
Tyce,2021-02-28 11:25:44,"If you're seriously trying to sabotage the #CovidVaccine rollout, you really have nothing to worry about because yo… https://t.co/RLuGgzEWdz",if you re seriously trying to sabotage the covidvaccine rollout you really have nothing to worry about because yo https t co rluggzewdz,1 star,1
CNBC-TV18,2021-04-26 06:39:34,"#COVID19 | Delhi Chief Minister @ArvindKejriwal says Delhi govt will be providing free #CovidVaccine to everyone above 18 years of age.

'Will make an effort to ensure that it is purchased soon and administered at the earliest to people,' he adds.

#CovidIndia #IndiaFightsCOVID19 https://t.co/iDBmMg5kb9",covid19 delhi chief minister arvindkejriwal says delhi govt will be providing free covidvaccine to everyone above 18 years of age will make an effort to ensure that it is purchased soon and administered at the earliest to people he adds covidindia indiafightscovid19 https t co idbmmg5kb9,5 stars,5
Rajiv,2021-06-16 04:15:01,"If you want to make #COVIDVaccination mandatory let us have a choice of #CovidVaccine we want, like #SputnikV

It's the only #Vaccine that has 0 deaths &amp; 0 complications on your health!",if you want to make covidvaccination mandatory let us have a choice of covidvaccine we want like sputnikv it s the only vaccine that has 0 deaths amp 0 complications on your health,1 star,1
IamDivinityDivineM💯,2020-12-31 10:23:44,"Confusion in the camp of the enermy...

#CovidVaccine",confusion in the camp of the enermy covidvaccine,1 star,1
"David Quimby, MD",2021-08-23 15:28:01,"Yesterday: No, I'm not getting a #CovidVaccine. It's not even FDA approved!

Today: No, I'm not getting a vaccine. It's just a cold/99% survivability/against my deeply-held religious beliefs/magnetism/ivermectin better/new excuse here.

#GetVaccinated",yesterday no i m not getting a covidvaccine it s not even fda approved today no i m not getting a vaccine it s just a cold 99 survivability against my deeply held religious beliefs magnetism ivermectin better new excuse here getvaccinated,1 star,1
IamHloniphani |🇿🇼|🇿🇦|🇰🇪|🇸🇳|🇸🇿|🇬🇲,2021-01-11 18:48:41,"The difference between 
#CovidVaccine &amp; #chickenpoxvaccine &amp; others taken by all children at birth is those went th… https://t.co/E9Pa3QWJQb",the difference between covidvaccine amp chickenpoxvaccine amp others taken by all children at birth is those went th https t co e9pa3qwjqb,3 stars,3
HSE Ireland,2022-02-05 11:45:00,"You can book your #COVIDVaccine booster appointment online. All of our vaccination centres are offering online booking for booster appointments, which can be booked up to 5 days in advance.

Book your slot: https://t.co/V3JQaKv3zk

#ForUsAll https://t.co/n8khD5j6a6",you can book your covidvaccine booster appointment online all of our vaccination centres are offering online booking for booster appointments which can be booked up to 5 days in advance book your slot https t co v3jqakv3zk forusall https t co n8khd5j6a6,5 stars,5
A-A-Ron,2021-07-21 23:34:49,@Daksthetruth He was late getting the GOP memo. Can we make some replacements? “I wanted a #CovidVaccine but all the GOP gave me was this damn shirt”,daksthetruth he was late getting the gop memo can we make some replacements i wanted a covidvaccine but all the gop gave me was this damn shirt,1 star,1
NHS North Central London CCG – Enfield,2021-08-24 17:45:03,"You can get your #CovidVaccine at Lidl, EN3 6LZ on Wednesday 25 August 10am-6pm. No booking needed. No GP registration. No immigration checks. For 18+. Second doses given 8 weeks after the 1st. Please do not attend if you have tested positive for COVID-19, or are self-isolating. https://t.co/InydKm34Tf",you can get your covidvaccine at lidl en3 6lz on wednesday 25 august 10am 6pm no booking needed no gp registration no immigration checks for 18 second doses given 8 weeks after the 1st please do not attend if you have tested positive for covid 19 or are self isolating https t co inydkm34tf,1 star,1
Yinka Adeyemi,2021-01-27 14:09:06,"Now that there is a global scramble for #CovidVaccine, and @EU_Commission  wants to ban vaccine exports, where is… https://t.co/HGpnHHCQJo",now that there is a global scramble for covidvaccine and eu commission wants to ban vaccine exports where is https t co hgpnhhcqjo,1 star,1
Ruega1968 🇵🇹🇨🇦,2021-04-10 20:01:15,@winstarvander @Veroscribe Give it up! Stop trying to change the conversation! You are a #Racist #EssexOntario… https://t.co/8LOATDz7sl,winstarvander veroscribe give it up stop trying to change the conversation you are a racist essexontario https t co 8loatdz7sl,1 star,1
black coffee,2021-03-12 07:50:56,"Quad vaccine initiative
US, India, Japan, Australia to take part in!
#CovidVaccine #Summit",quad vaccine initiative us india japan australia to take part in covidvaccine summit,5 stars,5
Nino,2021-10-31 20:30:56,It’s all to with training: you can do a lot if you’re properly trained. Online learning course #business #coaching #CovidVaccine #AstraZeneca #blog #online language course #ENGLAND #EnglishLanguage #freelancers #college #education #investing #translation #travelblogger #5G #life https://t.co/mOv8U3SygU,it s all to with training you can do a lot if you re properly trained online learning course business coaching covidvaccine astrazeneca blog online language course england englishlanguage freelancers college education investing translation travelblogger 5g life https t co mov8u3sygu,4 stars,4
CryptoKing,2021-01-20 03:24:35,"Want to know more about covid19 vaccines and where we may be heading, Watch this video FREE… https://t.co/rC2To6gk11",want to know more about covid19 vaccines and where we may be heading watch this video free https t co rc2to6gk11,5 stars,5
From Behind Enemy Lines,2021-07-08 23:25:19,"Corporate-Media Is Reporting Low “Demand Ceiling” For “Covid-19 Vaccine” In Young – You Heard It Here First
https://t.co/VqgT2MXvnZ
#CovidIsNotOver #CovidIsOver #JohnsonVariant not-#vaccinated #CovidVaccine #COVIDVaccination #vaccinerolloutfailure #vaccinerollout",corporate media is reporting low demand ceiling for covid 19 vaccine in young you heard it here first https t co vqgt2mxvnz covidisnotover covidisover johnsonvariant not vaccinated covidvaccine covidvaccination vaccinerolloutfailure vaccinerollout,1 star,1
Gurch Randhawa,2021-01-23 22:08:34,@keepnhspublic All because UK Govt refuses to learn from other countries-still no proper financial… https://t.co/tcfwAAcm49,keepnhspublic all because uk govt refuses to learn from other countries still no proper financial https t co tcfwaacm49,1 star,1
CHP,2021-12-16 17:47:00,Every adult in the UK needs to get a #CovidVaccine booster because 2 doses don't give you enough protection against catching Omicron. If you're 18+ and had your 2nd dose 2+ months ago visit https://t.co/tawJ6DG1GR to #GetBoostedNow,every adult in the uk needs to get a covidvaccine booster because 2 doses don t give you enough protection against catching omicron if you re 18 and had your 2nd dose 2 months ago visit https t co tawj6dg1gr to getboostednow,1 star,1
Sarah GM,2021-04-10 23:01:13,"If you’re waiting for the State of Colorado’s mobile bus #covidvaccine clinics, here is the appointment info! https://t.co/qRki9bp9QW",if you re waiting for the state of colorado s mobile bus covidvaccine clinics here is the appointment info https t co qrki9bp9qw,5 stars,5
NHS Central Lancs CCGs,2022-01-19 10:14:06,"💉 Is it time for your next dose of #CovidVaccine? 

👇 Walk-in, no appointment needed, to a local vaccine clinic.

Or click here to find a walk-in site near you: https://t.co/8ujKLQiBev

#WOWNW https://t.co/VRit8F0Ob9",is it time for your next dose of covidvaccine walk in no appointment needed to a local vaccine clinic or click here to find a walk in site near you https t co 8ujklqibev wownw https t co vrit8f0ob9,1 star,1
MD AHMED QAMER Future Jrf Ph.d,2021-08-02 13:14:14,"Covid third wave likely this month.
#Covid19IndiaHelp #COVID19nsw #COVID19 #CovidVaccine #Congress 
#IGNOU_Students_Against_Offline_Exam #IUBiansRejectPhysicalExam #PromoteCBSEPrivateStudents #iubstudentswantonlineexam #cbseresults2021 #IGNOU_Student_Against_Offline_Exam",covid third wave likely this month covid19indiahelp covid19nsw covid19 covidvaccine congress ignou students against offline exam iubiansrejectphysicalexam promotecbseprivatestudents iubstudentswantonlineexam cbseresults2021 ignou student against offline exam,1 star,1
Kgaogelo Mosetsa,2021-02-01 08:25:51,@TheRealClementM #CovidVaccine will Mzansi's conspiracy theorist CJ Mogoeng mogoeng accept to be vaccinated?,therealclementm covidvaccine will mzansi s conspiracy theorist cj mogoeng mogoeng accept to be vaccinated,1 star,1
"Sarcastic, Sardonic, Schadenfreude....",2022-02-17 23:36:25,"Get vaccinated and boosted!
#CovidVaccine https://t.co/1f5AnzbsCA",get vaccinated and boosted covidvaccine https t co 1f5anzbsca,5 stars,5
Caitlin Shadden,2021-02-04 22:50:50,I haven’t contributed to Twitter much. But I have decided to live tweet my and my roommates experience with the sec… https://t.co/VoQtGBS8jf,i haven t contributed to twitter much but i have decided to live tweet my and my roommates experience with the sec https t co voqtgbs8jf,4 stars,4
Food Service Matters,2021-02-03 18:00:00,"According to a new poll from @SetonHall, the possibility of receiving a COVID-19 vaccine has sports fans feeling mo… https://t.co/ym5E0L1kJ2",according to a new poll from setonhall the possibility of receiving a covid 19 vaccine has sports fans feeling mo https t co ym5e0l1kj2,1 star,1
Dr. Rachel Roper,2022-04-28 01:50:40,"@bpdgem @ECUBrodySOM Yes, I actually published on this for the first SARS. Viruses have many mechanisms to block immune responses. That's a reason why vaccines can give a better immune response  #COVID  #CovidVaccine #CoronaUpdate #coronavirus #CoronaVaccine https://t.co/X5SmfBoACy",bpdgem ecubrodysom yes i actually published on this for the first sars viruses have many mechanisms to block immune responses that s a reason why vaccines can give a better immune response covid covidvaccine coronaupdate coronavirus coronavaccine https t co x5smfboacy,1 star,1
VaxBLR,2021-11-03 06:00:25,"45+ #BBMP #Bengaluru #CovidVaccine Availability for 03/11 at 11:30AM
FREE Slots 0
PAID Slots 
#COVISHIELD - Dose1:1433, Dose2:1907
#COVAXIN - Dose1:549, Dose2:500",45 bbmp bengaluru covidvaccine availability for 03 11 at 11 30am free slots 0 paid slots covishield dose1 1433 dose2 1907 covaxin dose1 549 dose2 500,1 star,1
"Dr. Dani Sanchez,MFA, PhD. (She/They)",2021-03-21 04:05:42,Correction: my mother and partner are #TeamJohnsonAndJohnson so.. that’s 3 people in my #QuarantinePod that  ARE FU… https://t.co/S4zH4viudG,correction my mother and partner are teamjohnsonandjohnson so that s 3 people in my quarantinepod that are fu https t co s4zh4viudg,1 star,1
SIMA,2021-01-12 07:16:09,@SerumInstIndia sent trucks full of #HOPE to Delhi .. Hope for #2021 &amp; further ! Those who will be vaccinated with… https://t.co/zMBIrli7LV,seruminstindia sent trucks full of hope to delhi hope for 2021 amp further those who will be vaccinated with https t co zmbirli7lv,5 stars,5
The Humming Birdy,2021-01-27 04:00:06,Wtf is happening to the people's feet during #COVID19 #COVID #Covid_19 #CovidVaccine #COVIDIOTS #Covid19UK.  Take a… https://t.co/6GvDZh1Vio,wtf is happening to the people s feet during covid19 covid covid 19 covidvaccine covidiots covid19uk take a https t co 6gvdzh1vio,1 star,1
Scott Tulpin,2021-07-18 16:33:46,"why do we need to buy additional booster shots when we already bought 420+ million doses for 37 million Canadians? 

#COVID19 #CovidVaccine #cndpoli https://t.co/ippinLwsMc",why do we need to buy additional booster shots when we already bought 420 million doses for 37 million canadians covid19 covidvaccine cndpoli https t co ippinlwsmc,1 star,1
KamalaIsMyKween🔥👑🔥,2020-09-16 21:30:00,"He's talking about football😑, during his big #covidvaccine speech. Generating ticket money for his shitty owner fri… https://t.co/q7JbgfJn7n",he s talking about football during his big covidvaccine speech generating ticket money for his shitty owner fri https t co q7jbgfjn7n,1 star,1
FreeThink,2022-04-27 16:27:33,@vw_ginna Maybe its time we started calling the #CovidVaccine  the  #CovidSlowItDownABit,vw ginna maybe its time we started calling the covidvaccine the covidslowitdownabit,1 star,1
Tony (Handyman 30 years man & boy),2021-07-30 11:53:35,How can you sell me a vaccine for a virus i haven’t bought? #CovidVaccine,how can you sell me a vaccine for a virus i haven t bought covidvaccine,1 star,1
F Sanchez,2021-12-05 13:52:21,@chignardmaryle1 @DocAmine_ Thank you for your dedication! #CovidVaccine #COVIDIOT #AntiVaxxer,chignardmaryle1 docamine thank you for your dedication covidvaccine covidiot antivaxxer,5 stars,5
xdrdiscocatx,2021-01-22 20:17:08,"I got my #CovidVaccine just now!! The process was INCREDIBLE, the staff were AMAZING, and I am grateful for this op… https://t.co/QO51NhoY88",i got my covidvaccine just now the process was incredible the staff were amazing and i am grateful for this op https t co qo51nhoy88,5 stars,5
CA Malik,2021-08-03 10:07:42,"Well said
#auratmarchfaisalabad
#MoneyHeistSeason5 #Kabul
#سعدرضوی_پرظلم_بندکرو 
#Taliban 
#Promote9th_and11th_class 
#CovidVaccine 
#JusticeForNoor 
#JusticeForKanwal https://t.co/WDrSSCKvsO",well said auratmarchfaisalabad moneyheistseason5 kabul taliban promote9th and11th class covidvaccine justicefornoor justiceforkanwal https t co wdrssckvso,1 star,1
MedcoDRG,2020-12-26 10:04:17,"How the Pfizer-BioNTech Vaccine Works at New York Times
#covidvaccine #newyorktimes #management #future #creativity… https://t.co/4lPWfGj4Jc",how the pfizer biontech vaccine works at new york times covidvaccine newyorktimes management future creativity https t co 4lpwfgj4jc,5 stars,5
moneycontrol,2020-11-09 10:35:23,Coronavirus Vaccine Tracker: Here are all the latest updates on the vaccine candidates and their progress. 💉💊… https://t.co/JE3bm98VUu,coronavirus vaccine tracker here are all the latest updates on the vaccine candidates and their progress https t co je3bm98vuu,5 stars,5
Bicycle,2021-07-09 08:56:16,@dwnews Nice how they talk about the 3rd shot. How about putting more effort in helping other countries where no vaccine is available. Look at numbers in #SouthEastAsia. @GermanyDiplo @pfizer @Reuters @WHOSEARO #COVID19 #CovidVaccine,dwnews nice how they talk about the 3rd shot how about putting more effort in helping other countries where no vaccine is available look at numbers in southeastasia germanydiplo pfizer reuters whosearo covid19 covidvaccine,4 stars,4
American dad in Canada,2021-08-15 16:21:45,https://t.co/9HKVF07NFF hey #canadians! It’s not just the right thing to do by getting a #COVIDvaccine but now you can win prizes. #thisisourshotca,https t co 9hkvf07nff hey canadians it s not just the right thing to do by getting a covidvaccine but now you can win prizes thisisourshotca,5 stars,5
Mohamed Al Neser (النسر),2022-02-14 11:14:38,"The #COVID19 opened the eyes on the ""#HealthSecurity"" as an important issue on the same level like #FoodSecurity but as the #CovidVaccine was found rich countries bought x-times their needs to secure themselves never reached the imunity and other countrais wait for donations.",the covid19 opened the eyes on the healthsecurity as an important issue on the same level like foodsecurity but as the covidvaccine was found rich countries bought x times their needs to secure themselves never reached the imunity and other countrais wait for donations,1 star,1
uksunshinestu1,2021-12-07 07:42:27,#Covid19UK #coronavirus #covidvariant #Covid_19 #CovidVaccine #COVIDVaccination #Facecoverings #WearAMask #WearADamnMask #ProtectOthers #GetVaccinatedNow #GetBoosted  Pre-departure tests now required of arrivals in the UK to slow spread of Omicron https://t.co/lQXS4mH4sk,covid19uk coronavirus covidvariant covid 19 covidvaccine covidvaccination facecoverings wearamask wearadamnmask protectothers getvaccinatednow getboosted pre departure tests now required of arrivals in the uk to slow spread of omicron https t co lqxs4mh4sk,1 star,1
G,2021-10-27 00:58:57,"With a 0.02 COVID chance of death in 5-11 year olds, where is the emergency? 
How can this receive EUA? 
#CovidVaccine",with a 0 02 covid chance of death in 5 11 year olds where is the emergency how can this receive eua covidvaccine,1 star,1
Alzheimer's Assn WNY,2021-01-25 12:15:00,Information about the  #CovidVaccine for those living with #Alzheimer's disease &amp; #dementia and their care partners… https://t.co/8sy91Vd4id,information about the covidvaccine for those living with alzheimer s disease amp dementia and their care partners https t co 8sy91vd4id,4 stars,4
Kathy,2020-11-17 04:35:00,"List of COVID vaxes &amp; treatments showing which ones are derived from aborted baby cells:
https://t.co/0bJUbRiXnD
#prolife #CovidVaccine",list of covid vaxes amp treatments showing which ones are derived from aborted baby cells https t co 0bjubrixnd prolife covidvaccine,1 star,1
Runs with Scissors,2022-02-16 21:36:15,"Hospital capacity SUCKS. Because the once #HealthcareHeroes are being fired for #NoVax status. But they were okay prior to the introduction of #CovidVaccine

https://t.co/M7Lb3gicfH",hospital capacity sucks because the once healthcareheroes are being fired for novax status but they were okay prior to the introduction of covidvaccine https t co m7lb3gicfh,3 stars,3
Chia-Yu Lin 林家瑜 (she/her) 🇹🇼 💞 🇨🇦,2021-11-23 13:34:48,Booked 9 for her first #CovidVaccine and it was not even a painful process as we had endured months ago. Thanks  @cityofhamilton #PublicHealth. https://t.co/e43qc4jhhi,booked 9 for her first covidvaccine and it was not even a painful process as we had endured months ago thanks cityofhamilton publichealth https t co e43qc4jhhi,5 stars,5
NGA,2021-02-19 22:16:57,"""The #COVIDVaccine is safe, it is effective...and the only way we put the #COVID19 pandemic behind us is for enough… https://t.co/TQMWmV5NLG",the covidvaccine is safe it is effective and the only way we put the covid19 pandemic behind us is for enough https t co tqmwmv5nlg,4 stars,4
Nicola no aitch 💙,2021-02-25 09:20:31,"Got my second #CovidVaccine booked. Is that when I become some kind of biological, chipped weapon (for what reason… https://t.co/iihe92KNFy",got my second covidvaccine booked is that when i become some kind of biological chipped weapon for what reason https t co iihe92knfy,3 stars,3
Dr_Silberschmelzer,2020-11-09 19:27:20,Let me reiterate - $SU has a few competitive advantages when it comes to #Oil. 🦠🛢️📉💉📈💵 $SU.t $SU.to #stocks… https://t.co/LOAyPDPxNE,let me reiterate su has a few competitive advantages when it comes to oil su t su to stocks https t co loaypdpxne,3 stars,3
Sarah Kuehl,2021-02-24 17:38:15,"You never know what will come your way in Med school, including a pandemic where receiving the coveted vaccine beco… https://t.co/DfBDEU7qHT",you never know what will come your way in med school including a pandemic where receiving the coveted vaccine beco https t co dfbdeu7qht,1 star,1
Jay Rin,2021-03-18 21:21:37,"First one down and one to go! 🤘

#pfizer #covidvaccine #quickandeasy #firstdose #bethelove @ State Farm Murfreesbor… https://t.co/63x8JVxiU5",first one down and one to go pfizer covidvaccine quickandeasy firstdose bethelove state farm murfreesbor https t co 63x8jvxiu5,1 star,1
Ale➰,2021-09-07 18:02:59,Protecting myself and others #CovidVaccine 💉💕💙❤️💜💚,protecting myself and others covidvaccine,5 stars,5
CVS & Rite Aid Vaccine Finder VA,2021-04-10 17:44:23,"20 Rite Aids show #CovidVaccine slots in VA:
Hampton (23663)
Hampton (23669)
Newport News (23602)
Norfolk (23503)
P… https://t.co/m1j3LmAscL",20 rite aids show covidvaccine slots in va hampton 23663 hampton 23669 newport news 23602 norfolk 23503 p https t co m1j3lmascl,1 star,1
Msterry,2021-07-26 04:42:33,#Healthprofessionals #covidvaccine can breastfeeding mothers now vaccinate?,healthprofessionals covidvaccine can breastfeeding mothers now vaccinate,1 star,1
BloombergQuint,2021-02-08 03:15:00,A recent study commissioned by the International Chamber of Commerce concluded an unequal allocation of injections… https://t.co/RqSTimqSqM,a recent study commissioned by the international chamber of commerce concluded an unequal allocation of injections https t co rqstimqsqm,1 star,1
Dr. Theresa Tam,2021-07-14 19:01:14,"Looking for information on #COVID19?

We have plenty of information on COVID-19 in a variety of languages to help you stay informed: https://t.co/6kWfrFm5DR

#VaccinesWork #CovidVaccine https://t.co/pHUfN6waKt",looking for information on covid19 we have plenty of information on covid 19 in a variety of languages to help you stay informed https t co 6kwfrfm5dr vaccineswork covidvaccine https t co phufn6wakt,5 stars,5
Colin Hamer 🇪🇺🇲🇹🇬🇧marooned on a small island,2020-12-27 09:27:57,@RobertAbela_MT @MaterDeiMalta @chrisfearne Thank you #EuropeanUnion #CovidVaccine https://t.co/4qfGzUR5q5,robertabela mt materdeimalta chrisfearne thank you europeanunion covidvaccine https t co 4qfgzur5q5,5 stars,5
AlShorts,2020-11-18 14:32:07,"Global #CoronavirusUpdate

𝐀𝐥𝐒𝐡𝐨𝐫𝐭𝐬- 'Short News in 30 Seconds'
No Gossips. No Rumors. Only News.

Download the App… https://t.co/tt5ahGmtWX",global coronavirusupdate short news in 30 seconds no gossips no rumors only news download the app https t co tt5ahgmtwx,1 star,1
💄🎼Gina Hurd🎙🍒,2021-08-04 17:09:20,"@washingtonpost @adishsoup Yet
#America does not implement the same

Wake up, vaccines have been required for school, work &amp; travel for DECADES. 

A KILLING VIRUS IS NOT POLITICAL 

Please get 
#CovidVaccine 
NOW
#Savealife",washingtonpost adishsoup yet america does not implement the same wake up vaccines have been required for school work amp travel for decades a killing virus is not political please get covidvaccine now savealife,1 star,1
cptweets,2021-01-31 19:28:40,So many of you are #engineers and yet nearly none work for @Amtrak. What gives? #jobs #coronavirus #CovidVaccine… https://t.co/SudYUmdjAm,so many of you are engineers and yet nearly none work for amtrak what gives jobs coronavirus covidvaccine https t co sudyumdjam,1 star,1
SarahBeth Hartlage,2021-02-16 12:03:17,As good a summary as I've seen of #mRNA #CovidVaccine - especially if you are. #StarWars fan! https://t.co/oHRitVI9En,as good a summary as i ve seen of mrna covidvaccine especially if you are starwars fan https t co ohritvi9en,4 stars,4
GO! & Express,2021-01-08 10:03:18,Citizens won’t be forced to take #CovidVaccine – Zweli Mkhize #COVID19  https://t.co/I1jVuEngYt,citizens won t be forced to take covidvaccine zweli mkhize covid19 https t co i1jvuengyt,1 star,1
Kev,2021-07-04 10:23:39,"#CovidVaccine FLU vaccine is single dose &amp; comes in a preloaded syringe, so why can't covid vaccine be in a single pre loaded syringe? It would eliminate cross contamination &amp; wrong dose errors!",covidvaccine flu vaccine is single dose amp comes in a preloaded syringe so why can t covid vaccine be in a single pre loaded syringe it would eliminate cross contamination amp wrong dose errors,1 star,1
₹AGHUNANDAN MAACHANA,2021-03-19 06:53:44,4 Healthy #Telangana @The29thState  @TsrtcC @tsrtconline @tsrtckrmr @RM_NZB pl let @telangana #travellers #StaySafe… https://t.co/JQGufzUQUK,4 healthy telangana the29thstate tsrtcc tsrtconline tsrtckrmr rm nzb pl let telangana travellers staysafe https t co jqgufzuquk,5 stars,5
Gil Ramirez - Black Lives Matter,2021-04-11 19:33:07,"Circle Circle Dot Dot, now I have my Covid Shot.
Second shot down!! Ur Boi is fully vaccinated!!
Now just got to wa… https://t.co/hNmj8MsL1E",circle circle dot dot now i have my covid shot second shot down ur boi is fully vaccinated now just got to wa https t co hnmj8msl1e,1 star,1
"Jorge “Get your Covid vaccine” Moreno, MD",2021-04-27 13:38:50,"Walk-up #CovidVaccine #Connecticut locations:
@WTNH @NBCConnecticut @FOX61News  @FOX61News  

https://t.co/iLBo7El6uL",walk up covidvaccine connecticut locations wtnh nbcconnecticut fox61news fox61news https t co ilbo7el6ul,1 star,1
Sir Charles 🇰🇪,2021-10-22 15:12:43,@citizentvkenya #CovidVaccine comes to a pub near you,citizentvkenya covidvaccine comes to a pub near you,5 stars,5
WION,2021-11-12 12:00:03,"The company had earlier stated that its #Covidvaccine had 77.8% efficacy against symptomatic cases and 93.4% against severe symptomatic cases.

https://t.co/rZ3zQWi74e",the company had earlier stated that its covidvaccine had 77 8 efficacy against symptomatic cases and 93 4 against severe symptomatic cases https t co rz3zqwi74e,1 star,1
MakeOurVoiceKnown,2021-01-23 03:14:15,Want to get a preview of how healthcare will be under a government run system?  Try to get a #CovidVaccine.… https://t.co/PjY6H9dhyX,want to get a preview of how healthcare will be under a government run system try to get a covidvaccine https t co pjy6h9dhyx,1 star,1
Dr. Fatima M. Khajah,2021-01-29 11:20:51,"3. The Covid-19 vaccine requires extreme storage and transportation conditions, Does the MoH have the proper equipm… https://t.co/RwYjUaNj5t",3 the covid 19 vaccine requires extreme storage and transportation conditions does the moh have the proper equipm https t co rwyjuanj5t,3 stars,3
Kay Starr 🌊,2021-02-27 14:51:48,"Just got my COVID Vaccine 
🥳🎊
#COVIDVaccine #vaccinated https://t.co/stp7EDO0f7",just got my covid vaccine covidvaccine vaccinated https t co stp7edo0f7,5 stars,5
Michael Calderwood,2020-12-30 18:08:28,I am excited to have received my first #CovidVaccine @DartmouthHitch to save lives and end this pandemic. It will t… https://t.co/BerSotozZE,i am excited to have received my first covidvaccine dartmouthhitch to save lives and end this pandemic it will t https t co bersotozze,1 star,1
act.tv,2021-07-17 15:28:33,"WTF, Republican women? #CovidVaccine https://t.co/KRZDw9Khnm",wtf republican women covidvaccine https t co krzdw9khnm,1 star,1
VaxBLR,2021-07-29 03:30:10,"18-44 #RURAL #Bengaluru #CovidVaccine Availability for 29/07 at 09:00AM
FREE Slots 0
PAID Slots 
#COVISHIELD - Dose1:15, Dose2:48
#COVAXIN - Dose1:49, Dose2:99",18 44 rural bengaluru covidvaccine availability for 29 07 at 09 00am free slots 0 paid slots covishield dose1 15 dose2 48 covaxin dose1 49 dose2 99,1 star,1
DavidBrown 🇺🇸🇬🇧🇪🇺,2021-02-19 22:48:40,"No, but really though. This could be fantastic news. #COVIDVaccine https://t.co/w9fTgTqoZp",no but really though this could be fantastic news covidvaccine https t co w9ftgtqozp,3 stars,3
VaxBLR,2022-05-11 08:00:15,"45+ #URBAN #Bengaluru #CovidVaccine Availability for 11/05 at 01:30PM
FREE Slots 0
PAID Slots 0",45 urban bengaluru covidvaccine availability for 11 05 at 01 30pm free slots 0 paid slots 0,1 star,1
Stacey Ma Dukes Hopkins,2021-02-05 19:39:05,"""In the U.S., the latest vaccination rate is 1,339,525 doses per day, on average. At this rate, it will take an est… https://t.co/ScSvA3Hdhg",in the u s the latest vaccination rate is 1 339 525 doses per day on average at this rate it will take an est https t co scsva3hdhg,1 star,1
Beady Debs ♿ #SewageIsland 🟨🟥 #PAL,2022-01-29 15:49:40,"I'm all for people having their #CovidVaccine
But! Unless you're going to compensate people for care and loss of income, if they're damaged by it.
And unless you're going to compensate their families, should they die from it.
You cannot force them to have it, to keep their jobs.",i m all for people having their covidvaccine but unless you re going to compensate people for care and loss of income if they re damaged by it and unless you re going to compensate their families should they die from it you cannot force them to have it to keep their jobs,2 stars,2
Camp Ben,2021-03-23 05:51:19,"Having slept for pretty much two days, after my #CovidVaccine.  I thought I’d re-sync my body clock, by staying up… https://t.co/9ea1XhXGbx",having slept for pretty much two days after my covidvaccine i thought i d re sync my body clock by staying up https t co 9ea1xhxgbx,2 stars,2
VaxBLR,2022-04-06 12:00:05,"45+ #RURAL #Bengaluru #CovidVaccine Availability for 06/04 at 05:30PM
FREE Slots 0
PAID Slots 0",45 rural bengaluru covidvaccine availability for 06 04 at 05 30pm free slots 0 paid slots 0,1 star,1
